col1,col2,col3
$chacha20_poly1305_aead$3tO1u076jFfi0uPW$M3RPMXUwNzZqRmZpMHVQVw==$AwJ05FfJa2+QZg7v5y3e7vJ1jkzUdI8ztP0A$uBxxrENaiFHoGNq1leOK5g==$,Not Voted,For
96: 14032-73505-82848-99165,Not Voted,For
$chacha20_poly1305_aead$oeInflP3NY6cfV9t$b2VJbmZsUDNOWTZjZlY5dA==$Vacdz4khbAMA+PA1FK7XGICpvTcVdXTj7OiF$stDKCBdg4UMLLAQ87iRdbQ==$,Not Voted,For
$chacha20_poly1305_aead$4NLWhOy2uJkqUdOM$NE5MV2hPeTJ1SmtxVWRPTQ==$YfUMczZd01gPDY1B8RoTcYYeB79DtGjkEoVp$0rV+kaeDo7Z1MHVqXp9YCA==$,Not Voted,For
88: 43904-33248-29496-66305,Not Voted,For
69: 23258-76403-00271-71372,Not Voted,For
$chacha20_poly1305_aead$ItKYGDFt/JBkJowi$SXRLWUdERnQvSkJrSm93aQ==$SpJghHH+2FE9k4w95oZqKPQwH9GUAFHCawrZ$0XHYCdoCoh5iru3DYkMNVg==$,Not Voted,For
$chacha20_poly1305_aead$hk8CC5P6bd70hJsp$aGs4Q0M1UDZiZDcwaEpzcA==$M8jK/nt5NbINfdDu3WWReQPjTVPFl6lv+4HR$b44DZse6zBjYDufSQclDMg==$,Not Voted,For
$chacha20_poly1305_aead$256xPJX02qiv17Wx$MjU2eFBKWDAycWl2MTdXeA==$ksqlwZT3Nz9VOwy2FTy6NmAHCSdR6UB2sDrQ$HVmlfF1Gvy2bt9Thva4ACg==$,Not Voted,Against
$chacha20_poly1305_aead$ZWHJbf2szDwISj41$WldISmJmMnN6RHdJU2o0MQ==$dO69dBkH29KQCH6vYAIAmCZZkzSKli8UulQQ$tSVKqZbBxg77OVrmMt+gcw==$,Not Voted,For
$chacha20_poly1305_aead$EHS44LiKle5NSWmd$RUhTNDRMaUtsZTVOU1dtZA==$qyQ17biAJ7GA7fVDgz4+o3J/K1NR8XEr+TsD$9TfiavFyne8HgPoBfs+Ksw==$,Not Voted,Decoy
$chacha20_poly1305_aead$dVk54VSlG7Ms6yI6$ZFZrNTRWU2xHN01zNnlJNg==$/Z+Yw9/VjF1fFFwMJT3AHyOT2bohHyKhv7s8$VQacOzaItxzstX9t/JV2qA==$,Not Voted,For
$chacha20_poly1305_aead$ErZ/mzKG7ORIaUWo$RXJaL216S0c3T1JJYVVXbw==$lBHKugFqK/IsYxmM++4ikw9c5EzQUffVp+6k$KXXKzpDaOETVRt0lII5H7w==$,Not Voted,Against
$chacha20_poly1305_aead$SN8cXQavZKRI3RlD$U044Y1hRYXZaS1JJM1JsRA==$iGzZFfQMYp+x26At+jkKep2sneE0a5dXPyAQ$SoiE/KB9RrLfSTym8Tviuw==$,Not Voted,Against
$chacha20_poly1305_aead$1LdxBwZPhW9mVRCt$MUxkeEJ3WlBoVzltVlJDdA==$z1prnb9NcyZASLGYTEfJq0/m/ilNkaU3pD1p$QdQGBbiybAvqm7VNIi63rA==$,Not Voted,Against
43: 11008-02026-78429-20828,Not Voted,For
$chacha20_poly1305_aead$b1QgFHSZSGSpE/MQ$YjFRZ0ZIU1pTR1NwRS9NUQ==$8pT6ObZ4kis45228UBJp82zdglj8/oMldYXU$yczRKMWq/MvCCJOHiXmzDw==$,Not Voted,Decoy
$chacha20_poly1305_aead$O0nnuX8D3cAaHBzz$TzBubnVYOEQzY0FhSEJ6eg==$B+DgL32dgERV98JONR/ltz9woBEDb4+QSdp3$6WmoucXr0Yd8FLOQhHZlYA==$,Not Voted,Against
$chacha20_poly1305_aead$Ssce09DHMz8avpPr$U3NjZTA5REhNejhhdnBQcg==$KgrFVaeQHLdC45Quz2RWKBFWRF67C8UvciCo$cZPqyWHSBEEY1DDkLt7/lA==$,Not Voted,For
$chacha20_poly1305_aead$TY8ddgBKiTgDXBsz$VFk4ZGRnQktpVGdEWEJzeg==$b/Hlae5x8jiFcqPOID8SF/TOnmmyfPXMRk1+$zhVojsYYh6+LHGvZm7ozdA==$,Voted,Against
$chacha20_poly1305_aead$QnfEqo1QHl7dkwQ7$UW5mRXFvMVFIbDdka3dRNw==$s3rCXZWmnYyBc7Z4d4k0jwPdAH9o+jbhDFgj$vLP0V0laseTo30e4EEIJig==$,Not Voted,Against
$chacha20_poly1305_aead$MLUrJzXfD8w9ZmE2$TUxVckp6WGZEOHc5Wm1FMg==$ND8wY+kbf3nmer+0wdoOm1II2lqy8H3IxJE7$xC/hiPYb/Yvhu9EKNGtjUQ==$,Not Voted,Decoy
$chacha20_poly1305_aead$HwxDSPath1cU7gzb$SHd4RFNQYXRoMWNVN2d6Yg==$g0tfd03Q580iKddU3v68Ya0F1DJiwpPhH4pU$tWGVFbuUnhL/9DreNU+0Ow==$,Not Voted,Against
$chacha20_poly1305_aead$EPO1G7YLXJ2aq6J4$RVBPMUc3WUxYSjJhcTZKNA==$nqOo4KTBl6HgOTO/9TDuOIOkCHhvz/2/yqW1$ewyPq4q4+CnZ9BiikNWyqA==$,Not Voted,Against
$chacha20_poly1305_aead$Z3QzFwSY+FllB0Xu$WjNRekZ3U1krRmxsQjBYdQ==$8y+MZDDCRVH/S0/Ndapr6bK/STVEIR6oCAS5$ZEGBz1QJZa9CwnmhBS2mVg==$,Not Voted,For
$chacha20_poly1305_aead$a75pctBAU0nn7nBf$YTc1cGN0QkFVMG5uN25CZg==$ok6Ue0tX/FkoFINC03L9CGBx8qDF1WA4Idl6$zkUIVHvO47Q1PEafF13mvA==$,Not Voted,For
$chacha20_poly1305_aead$4cuQV+Fa1bIDkgJa$NGN1UVYrRmExYklEa2dKYQ==$6xIWy+M3F2L+b44t61DIbOrDMMShtBMsOOHI$fK4463wSPnv6Ri3yzgwgBA==$,Not Voted,For
$chacha20_poly1305_aead$VPdMTT/FpNJC/0/e$VlBkTVRUL0ZwTkpDLzAvZQ==$0FY1SM6BZ+10LE5nMoshAN90+AzTgFdyVmAc$L9dhk/LX6WlQn+E54gxTUA==$,Voted,For
77: 15879-23528-18920-95277,Not Voted,Against
20: 90137-13853-64703-11297,Not Voted,For
$chacha20_poly1305_aead$DHDL7GULTmErnWRE$REhETDdHVUxUbUVybldSRQ==$Xuiag1Pkq7EWc9RXjsLGWCLGOJVaqUWAVVvs$WliP7uy6AHYaGdJq5H9hoQ==$,Not Voted,Decoy
$chacha20_poly1305_aead$hb3a4SVag9a4FYCB$aGIzYTRTVmFnOWE0RllDQg==$SdDO4tV2E9mNGYQrEYwNXBNVeM9ziOhpOIvQ$ITeu1t/UsHWgV2pyKULpwg==$,Not Voted,Against
20: 11279-50726-15158-69069,Not Voted,Against
$chacha20_poly1305_aead$ubN1V5L/65mKEfcV$dWJOMVY1TC82NW1LRWZjVg==$+nIm2LT9+21Q7k607s8YYVjM7iFla0BOZvVW$sUkTxhcXtPPFRVxpRZD+4Q==$,Not Voted,For
$chacha20_poly1305_aead$owENfa/a8CsTWVYA$b3dFTmZhL2E4Q3NUV1ZZQQ==$yNNkKVUgXRGiRJWYsU8IDTubrO/JESHDS4BA$bwpvRsRdYWh/sb98/FGBNA==$,Not Voted,Against
$chacha20_poly1305_aead$9Di1ZSAxWZpHeUcI$OURpMVpTQXhXWnBIZVVjSQ==$xkqdDDTPPFv/pPnbJKjdBdrz6gCz2j3vEVN+$bd5uHX8ACWOwZJEMcXoQxw==$,Not Voted,For
$chacha20_poly1305_aead$RDwgdLWXJ17ffHKq$UkR3Z2RMV1hKMTdmZkhLcQ==$wEeJ+z5r+q/cgjwFdH++VeYLzoimj23KYAVS$MVz5bx/teRxYlv1mI4XsqA==$,Not Voted,For
$chacha20_poly1305_aead$trdIkEsl9A4y1JE8$dHJkSWtFc2w5QTR5MUpFOA==$haQoUQBdGXZ6vk/VsAKgaPowsb85uymcZABf$hZfQG/Q3MNZA6yieJcBDdg==$,Not Voted,Against
$chacha20_poly1305_aead$VpaHwnxhxMHA0iNG$VnBhSHdueGh4TUhBMGlORw==$iQ6pMP8td+BJAbcU/PbqA/PancVoo6bBCPas$ifNlfPKJx09OJp4oC2VtsA==$,Voted,For
$chacha20_poly1305_aead$5AvkPNb8y+BTmlKH$NUF2a1BOYjh5K0JUbWxLSA==$LRWtDPvcxXA3gEgYzWM4IqiXbZOLTaHLZ1Fz$vXbyrRcFYGwTNwKLjAjyRA==$,Not Voted,Decoy
$chacha20_poly1305_aead$TewQ7L+o2e2KL3kX$VGV3UTdMK28yZTJLTDNrWA==$uU6UqTrrFIMvG4hWGjVG88nc9/DanF7dk8Hi$mC5zgAAbXskUQvhugUOECw==$,Not Voted,For
